id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
685670699593937922,Condo in Hong Kong · ★4.94 · 1 bedroom · 2 beds · 1 private bath,269051930,Mm,,Yau Tsim Mong,22.298593012033052,114.1723757609725,Private room,680,1,17,2023-05-14,1.69,18,89,17,
691015653464633430,Condo in Hong Kong · 1 bedroom · 2 beds · 1.5 baths,128699196,Joyce,,Islands,22.226729480884725,114.11311201751232,Entire home/apt,498,28,1,2022-08-22,0.10,2,365,1,
694405057242936623,Condo in Hong Kong · ★5.0 · 1 bedroom · 2 beds · 1 bath,1940181,Ray,,Central & Western,22.28798,114.14964,Entire home/apt,1300,7,3,2023-05-02,0.38,1,358,3,
694498582810470150,Condo in Hong Kong · 1 bedroom · 1 bed · 1 bath,43474222,Katherine,,Eastern,22.28612,114.22452,Entire home/apt,780,28,0,,,3,160,0,
694799572645726155,Rental unit in Hong Kong · ★4.0 · 1 bedroom · 1 bed · 1 private bath,152032844,WinGwinG,,Yau Tsim Mong,22.29838,114.17309,Private room,300,1,5,2023-05-21,1.53,7,88,5,
696266956209924731,Serviced apartment in Hong Kong · 2 bedrooms · 2 beds · 1 bath,112360437,Maggie,,Islands,22.23357,113.95511,Entire home/apt,700,27,0,,,5,73,0,
697043041286818477,Boutique hotel in Hong Kong · ★4.0 · 1 bedroom · 1 bed · 1 private bath,435811060,Lo,,Yau Tsim Mong,22.32086,114.17015,Private room,950,1,5,2023-04-30,0.55,5,365,5,
697688516054499750,Condo in Hong Kong · 1 bedroom · 1 bed · 1 private bath,25375849,Nick,,Tsuen Wan,22.37287,114.11229,Private room,307,2,1,2022-09-14,0.11,8,77,1,
706006123002723462,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1 bath,267770044,Hmlet,,Central & Western,22.282739,114.151851,Entire home/apt,690,30,0,,,36,88,0,
706322647277972955,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,447375511,Blueground,,Central & Western,22.2823544,114.1514589,Entire home/apt,1521,30,1,2023-01-08,0.18,50,294,1,
706754172572487271,Rental unit in Hong Kong · ★5.0 · 1 bedroom · 1 bed · 1 bath,15174928,Becky,,Yau Tsim Mong,22.305774,114.1717417,Entire home/apt,260,20,3,2023-06-14,0.40,2,176,3,
795313129728414969,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,493088457,Comfy Nomad,,Central & Western,22.282588125694737,114.12964216484673,Private room,330,28,0,,,45,365,0,
795321601050694299,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,493088457,Comfy Nomad,,Central & Western,22.283361330167946,114.12786747428034,Private room,290,28,0,,,45,334,0,
795328702723924617,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 private bath,198109516,Apple,,Wan Chai,22.28209191781406,114.18422087207136,Private room,280,28,0,,,77,0,0,
795348577781619585,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1.5 baths,493088457,Comfy Nomad,,Central & Western,22.285870844414358,114.13869751981997,Entire home/apt,500,30,1,2023-02-04,0.21,45,83,1,
711254304419612786,Houseboat in Hong Kong · 1 bedroom · 1 bed · 1.5 baths,66859143,Joanna,,Kwun Tong,22.30952,114.22066,Private room,810,5,2,2023-03-24,0.25,1,15,2,
714322861022466761,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,447375511,Blueground,,Central & Western,22.2880381,114.1488873,Entire home/apt,1042,30,1,2023-05-31,1,50,365,1,
715044619014649978,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,447375511,Blueground,,Central & Western,22.2830767,114.1521806,Entire home/apt,1581,30,1,2022-12-26,0.17,50,343,1,
715496002800050461,Condo in Hong Kong · 1 bedroom · 1 bed · 2 baths,220121415,Min,,Central & Western,22.27663,114.16118,Entire home/apt,1096,4,2,2022-12-10,0.29,1,61,2,
717907844647605961,Condo in Hong Kong · ★5.0 · 1 bedroom · 2 beds · 1 private bath,14738067,Emilia,,Wan Chai,22.28005,114.18068,Private room,500,5,3,2023-02-01,0.34,3,0,3,
720005311715622660,Rental unit in Hong Kong · 2 bedrooms · 1 bed · 1 bath,447375511,Blueground,,Wan Chai,22.2772208,114.1732649,Entire home/apt,1333,30,0,,,50,202,0,
720487196516568750,Condo in Hong Kong · ★5.0 · 1 bedroom · 1 bed · 1 private bath,14738067,Emilia,,Wan Chai,22.27876,114.18273,Private room,450,12,7,2023-03-28,0.78,3,135,7,
722224613978233320,Rental unit in Hong Kong · Studio · 1 bed · 1 private bath,230759689,Alice,,Yau Tsim Mong,22.29784,114.17567,Private room,545,1,1,2022-10-06,0.11,4,188,1,
723514838166135337,Condo in Hong Kong · 1 bedroom · 1 bed · 1 private bath,14738067,Emilia,,Wan Chai,22.27859,114.18105,Private room,500,5,2,2022-12-28,0.30,3,0,2,
724280718132817141,Serviced apartment in Hong Kong · 1 bedroom · 2 beds · 1 bath,34667156,Koman,,Wan Chai,22.28203,114.17233,Entire home/apt,2200,30,0,,,4,365,0,
725392673843444639,Serviced apartment in Hong Kong · 1 bedroom · 1 bed · 1.5 baths,34667156,Koman,,Wan Chai,22.28054,114.17385,Entire home/apt,1980,30,0,,,4,365,0,
833064733700417105,Rental unit in Hong Kong · ★4.71 · 1 bedroom · 1 bed · 1 bath,503340545,Sara,,Wan Chai,22.2779788,114.1800612,Entire home/apt,486,2,7,2023-05-31,1.81,1,59,7,
726308559933008239,Villa in Hong Kong · ★4.80 · 2 bedrooms · 2 beds · 2 baths,60300246,Jacques,,Islands,22.21178,114.02896,Entire home/apt,2870,2,5,2023-05-27,1.01,1,86,5,
726542931818730164,Rental unit in Hong Kong · ★5.0 · Studio · 1 bed · 1 bath,23544123,Martin,,Central & Western,22.284595925694923,114.15300475396725,Entire home/apt,440,7,3,2023-01-29,0.51,1,38,3,
726738996593662222,Rental unit in Hong Kong · ★New · 1 bedroom · 1 bed · 1 shared bath,164101064,Martin,,Islands,22.29122671712563,113.94950330257416,Private room,336,1,0,,,1,362,0,
727130142580731395,Condo in Hong Kong · ★5.0 · 2 bedrooms · 3 beds · 1 bath,240790745,Samson,,Wan Chai,22.2758924,114.171337,Entire home/apt,1300,28,5,2023-05-27,1.28,10,296,5,
728590874370380238,Condo in Hong Kong · ★5.0 · 1 bedroom · 1 bed · 1 bath,1148506,Sonia,,Wan Chai,22.27573,114.1733,Entire home/apt,1190,3,4,2023-06-14,0.52,1,0,4,
734390066019627695,Condo in Hong Kong · ★3.75 · 1 bedroom · 1 bed · 1 bath,463543124,Sean,,Central & Western,22.2842,114.15163,Entire home/apt,77000,2,4,2022-11-29,0.50,1,363,4,
734456068489065531,Rental unit in Hong Kong · ★5.0 · Studio · 1 bed · 1 bath,31724322,Christophe,,Central & Western,22.28273,114.1477,Entire home/apt,650,2,9,2023-05-02,1.07,1,17,9,
734465163372015806,Hotel in Hong Kong · 1 bedroom · 2 beds · 1 private bath,466738499,Wes,,Yau Tsim Mong,22.30226,114.17316,Private room,948,1,2,2023-01-27,0.25,29,124,2,
735023709814778880,Condo in Hong Kong · 1 bedroom · 2 beds · 1 bath,10576217,Ea,,Islands,22.229416573725338,114.11409839987755,Entire home/apt,800,2,1,2022-10-30,0.13,1,0,1,
735977553882614833,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1 bath,447375511,Blueground,,Central & Western,22.2813959,114.1513241,Entire home/apt,1553,30,0,,,50,295,0,
737431632568749717,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1 bath,447375511,Blueground,,Central & Western,22.2845656,114.1447956,Entire home/apt,1416,30,1,2022-12-07,0.15,50,357,1,
738185225499701424,Hotel in Hong Kong · 1 bedroom · 1 bed · 1 bath,466738499,Wes,,Yau Tsim Mong,22.30202,114.17323,Private room,868,1,0,,,29,149,0,
739579073455010986,Serviced apartment in Hong Kong · ★4.43 · 1 bedroom · 1 bed · 1 private bath,31947768,Nuts,,Yau Tsim Mong,22.30496368340747,114.17100251163941,Private room,356,2,7,2023-05-27,0.91,21,72,7,
741368015510652735,Vacation home in Hong Kong · ★4.60 · 3 bedrooms · 3 beds · 1 bath,4134621,Paula,,Sai Kung,22.3642585,114.2527226,Entire home/apt,1500,2,10,2023-02-19,1.26,1,224,10,
