id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
841757821659969922,Rental unit in Zhongshan District · 1 bedroom · 1 bed · 1 bath,221651244,Yvonne,,中山區,25.053992213020027,121.52395878443406,Entire home/apt,3300,2,1,2023-05-01,0.48,1,32,1,
841843184613126182,Rental unit in Xinyi District · 3 bedrooms · 3 beds · 2 baths,146254191,Joseph & Elva,,信義區,25.02295,121.56042,Entire home/apt,4081,30,0,,,29,365,0,
842272810642692332,Rental unit in Datong District · 2 bedrooms · 2 beds · 1 bath,15588671,York,,大同區,25.05013,121.5188303,Entire home/apt,4330,30,0,,,5,59,0,
842333091302945663,Rental unit in Songshan District · 1 bedroom · 1 bed · 1 bath,298910458,Jim,,松山區,25.048373987856206,121.54658779703932,Entire home/apt,1799,20,2,2023-06-16,1.54,18,304,2,
842480226463559009,Condo in Zhongzheng District · 3 bedrooms · 3 beds · 2 baths,221089274,Sammi,,中正區,25.01239310609779,121.53617475181818,Entire home/apt,2999,30,0,,,5,351,0,
842658652235124647,Rental unit in Wenshan District · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,96257044,Rick 文山萬芳MRT 背包宿舍,,文山區,24.999710797404955,121.55953160831179,Shared room,514,2,5,2023-04-28,1.43,4,61,5,
842674424818904334,Rental unit in Zhongzheng District · ★4.79 · 1 bedroom · 3 beds · 1 bath,104718340,Kumiko,,中正區,25.045650580652936,121.51507318161505,Entire home/apt,1311,2,14,2023-06-22,5.75,6,86,14,
842908003260036353,Rental unit in Da’an District · ★5.0 · 1 bedroom · 2 beds · 1 private bath,106497187,Angel,,大安區,25.042927923778894,121.54369709979912,Private room,1690,2,4,2023-05-06,1.09,11,271,4,
842924727706122465,Rental unit in Da’an District · ★5.0 · 1 bedroom · 3 beds · 1 private bath,106497187,Angel,,大安區,25.04286419365873,121.54279994405111,Private room,1433,2,5,2023-04-17,1.50,11,267,5,
842935586719914390,Rental unit in Da’an District · ★3.80 · 1 bedroom · 2 beds · 1 private bath,106497187,Angel,,大安區,25.042040715011762,121.54454546126638,Private room,2390,2,5,2023-06-05,1.43,11,265,5,
842942916111478113,Rental unit in Da’an District · ★5.0 · 1 bedroom · 3 beds · 1.5 shared baths,106497187,Angel,,大安區,25.04099444267679,121.54363335415651,Private room,1490,2,3,2023-05-14,0.87,11,267,3,
842961393079567263,Tent in Songshan District · ★4.60 · 1 bedroom · 2 beds · 1 shared bath,365765497,Myvan,,松山區,25.05374,121.55673,Private room,2266,1,5,2023-05-07,1.34,4,357,5,
843013659915688040,Rental unit in Da’an District · ★4.67 · 4 bedrooms · 10 beds · 4 baths,106497187,Angel,,大安區,25.043662666212708,121.5431363016786,Entire home/apt,6800,2,3,2023-06-10,2.57,11,260,3,
843013764076090455,Rental unit in Wanhua District · ★3.0 · Studio · 1 bed · 1 bath,453709970,Bella,,萬華區,25.047105485840316,121.50653426455551,Entire home/apt,943,4,3,2023-06-03,0.91,20,76,3,
843015974761817479,Rental unit in Neihu District · 1 bedroom · 1 bed · 1 shared bath,41911316,Tseng,,內湖區,25.0662365477573,121.61125849932432,Shared room,2500,1,0,,,1,0,0,
